sentences,labels
ANTIVIRUS CONTINUAR  MENSAGEM SOLICITAR ATIVACAO  ATENDENTE INFORMAR   NORMAL   COMER   NORMAL   MENSAGEM APARECER  TARJAR VERMELHO  CRITICIDADE  SEGURANCA  MAQUINAR   PROPRIO ANTIVIRUS NAO DEIXAR    VARREDURA  MAQUINAR    PROPRIO ANTIVIRUS    APARECER  MENSAGEM  PROBLEMA     NORMAL  NAO      CASAR NAO  ,2
 ATENDENTE LEANDRO  SUPER ATENCIOSO   RESOLVER     DIFICULDADE ,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO  RESOLUCAO EFICAZ,1
OTIMO ATENDIMENTO  RESOLUCAO EFICAZ,1
 TECNICO   ATENDER  DEMONSTRAR  CONHECIMENTO      JA   4  ANTERIORMENTE  SUCESSO  MANDARAM ATE  DESEMBARCAR  MICRO  NAO  JEITO   ENTANTO  ULTIMO  RAPIDO  EDUCAR  MERECER  ELOGIAR ,0
OTIMO ATENDIMENTO  RESOLUCAO EFICAZ,1
GOSTARIA  TECER  ELOGIAR   TECNICO   ATENDER  RESOLVEU RAPIDAMENTE   OUTRO NAO   ,1
SERVICO NOTO       COMPETENTE  EDUCAR  TECNICO   ATENDER  JA  PASSAR  4  SOLUCIONAR ,1
    ATENDIDA  881,1
EXCELENTE ATENDIMENTO  RESOLVER   PLEITO  LOUVOR ,1
EXCELENTE ATENDIMENTO  OPERADOR PRESTATIVO  RESOLVER   PLEITO  NOTA 10,1
   ATENDER ,1
GRATO PELAR PRESTEZA ,1
RAPIDO  EFICIENTE ,1
CHAMADO NAO RESOLVER  INTERCOMS  UNIDADE U50  HDTI INOPERANTE   GRAVAR  QUESTAO  SEGURANCA    UMAR  EMERGENCIA    PRECISAR INFORMAR IMEDIATAMENTE     INTERRUPCAO  SERVICO  QUENTAR   ATE   ANUNCIAR  ABANDONAR  AREA   SERIAMENTE COMPROMETIDO   INDISPONIBILIDADE  INTERCOMS  PECO PARIR  DEEM  DEVIDO ATENCAO PARIR  NAO CONFORMIDADE     ,2
SERGIO ALVAREZ NAO VISUALIZAR     CELULAR  CONTAR TARIFACAO  ENTAO CONTIUAMOS  AGUARDAR ,2
EXCELENTE ATENDIMENTO ,1
FALTAM   NECESSARIOS,2
  LIGACAO PARIR CELULAR INTERURBANO  REPENTINAMENTE  SERVICO PARAR  FUNCIONAR  AVISAR PREVIO   TIC DEMORAR 21 DIA PARIR ENTRAR  CONTATO  NAO RESOLVER  PROBLEMA ,2
 RAMAL VOLTAR  OPERACAO    HAVER  DEFINICAO  UMAR CAUSAR EFETIVA ,2
 CERTAR  DEMORAR   ,0
 NECESSARIO ABRIR 2 CHAMAR PARIR RESOLUCAO  PROBLEMA ,2
ATRASO  ATENDIMENTO ,2
EXCELENTE ATENDIMENTO ,1
SO PRECISAR   PONTAR  REDAR   TOMAR  RAMAL  DESLOCAR 3 M    SALA   JA EXISTIR  PARIR   PARIR VIABILIZAR ESPACAR PARIR ROTO  FUGA   SETOR ,2
 CONSULTOR VIVIAN EXCEDEU  EXPECTATIVA JUNTO   CONSULTOR CLAUDIO,0
  APRESENTAR  ALERTAR   RETORNO  ATENDENTES SERIAR  POSSIVEL ERRAR  DIGITACAO  CPFS   EMPRESAR COMETER   CADASTRAR  RESPONSAVEL PELAR EMPRESAR  POREM NAO   SOLUCAO PARIR SANAR  ALERTAR   ENCAMINHAR PARIR  SETOR  CADASTRAR PARIR AVERIGUAR  REALMENTE  TRATAR   SIMPLES ERRAR   REALMENTE   USUARIO  LIGAR   EMPRESAR    TRATAR  LICITACAO   TRATAMENTO PARIR INCONSISTENCIA COMER  DEVER    RIGOR  NAO  TRATAR   SIMPLICIDADE       ATENDENTES   LIGAR  JA   TRATAR   ALERTAR      SEGUIMENTO  OPORTUNIDADE   SO ESCREVER  POSSIVEL MOTIVAR  PROBLEMA   SOLICITAR PARIR COMPOR  PASTAR  PROCESSAR    NAO   MANEIRO  DEVER  SO   PARIR  ENCERRAR  CHAMAR ,2
   ELOGIO  GESIELE PEREIRA GONCALVES    PRESTEZA  DEDICACAO  ATENDIMENTO  RESOLVER     PROBLEMA  INSTALACAO  CERTIFICADOS  PDA   RARO ENCONTRAR PESSOAL DEDICADO  COMPROMETIDO  ATENDER  RESOLVER  PROBLEMAS  CLIENTE    FIQUE REGISTRADO  ELOGIO ,1
 CONFIRMAR    BUSCAR  EMPREGAR NAO APARECER  ROTO INFORMAR PARIR  CHAVE CYLI,2
IMPORTANTE  ATENCAO DISPENSAR P SIGEM4 ACESSAR  PROBLEMA ,0
NAO HAVER UMAR ACAO DIRETA  TIC  RESOLUCAO  PROBLEMA  CHEGAMOS  CONCLUSAO   ARQUIVAR    ENCMAINHADO PARIR VALIDACAO  ASSINATURA DIGITAL DEVER   PROBLEMA      VALIDACAO NAO CONSEGUIR GERAR  PROTOCOLO  VALIDACAO   NOTO 5  ATENDIMENTO   FUNCAO  ATENDIMENTO  TECNICO   INTERAGIR    MOSTRAR INTERESSAR  RESOLVER  PROBLEMA ,0
 ATENDIMENTO  RAPIDO  PESSOAL ENVOLVER   ATENCIOSO ,1
EXCELENTE ATENDIMENTO ,1
EXCELENTE,1
100 ,0
ATENDIMENTO IMPECAVEL  110  MELHOR  BRASIL,1
SERVICO   CONFIRMAR  EMISSAO  PROXIMO DSP,0
 PELAR APOIAR  EMPENHAR ,1
GOSTEI   ATENDIMENTO ,1
ATENDIMENTO      BOM   RAPAZ   PRESTATIVO  ATENCIOSO  PARABENS ,1
PRIMEIRAMENTE   ERRAR  DEVER  OCORRER    ORIGINAR  UMAR MANUTENCAO REALIZAR  VIEW PROJETOAGRUPAMENTO    HAVER UMAR ANALISE  IMPACTO  OUTRO VIEWS    IDENTIFICAR  PROBLEMA   NECESSARIO 3 PUBLICACAO  PRODUCAO PARIR CORRIGIR  PROBLEMA  DEFINITIVO      SEMANA  IMPORTANTE  MES    USUARIO  AREAS  NEGOCIO  ALIMENTAR  PROJETOS ,2
EXCELENTE ATENDIMENTO,1
 PESSOA  CONDUZIR  ATENDIMENTO  ACHAR   NOME D   ANA CRISTINA    ATENCIOSO  PRESTATIVO  EXCELENTE DESEMPENHAR ,0
 BOM  ATENDIMENTO  ATENCAO  ACOMPANHAMENTO  PROFISSIONAL MARCIA  PARABENS ,1
OTIMO ATENDIMENTO  TECNICO  COMPROMETER   DEMANDAR  PARABENS ,1
 APOIAR INSTALAR  PROGRAMAR  NAO   COMUNICACAO   SCANER  DISSE  NAO   ,2
CHAMADO ABERTO  SEGUNDAFEIRA  SOLUCAO   QUARTAFEIRA  CONSIDERO   INCOMPATIVEL   SOLICITACAO     ALEM D   PARIR SOLUCIONAR  REGISTRAR  PROBLEMA  INC000023358383   GERAR  3 REGISTRO SUBSEQUENTE     INC000023384366    INC000023384234    INC000023358274    DEVERIA HAVER UMAR MANEIRO  SOLICITAR  RETOMAR  SOLICITACAO JA ABERTO PELAR WEB 881   ABAR CONSULTAR   NAO EXISTIR   OBRIGAR  LIGAR      REGISTRAR  ABERTO ,2
INFORMACAO  LOCALIZADOR  PESSOA CONTINUAR INCORRETA   RAMAL  CADASTRAR COMER 7169136 POREM  CORRETAR 8169136   HAVER CASO  PESSOA NAO CONSEGUIR  CONTACTAR  CAUSAR D  ERRAR ,2
EXCELENTE,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO  OBRIGAR ,1
PARABENS  ATENDIMENTO NOTO    ,1
 NEGATIVO  REFERENTE   FATO  NAO  HAVER UMAR ACAO  SI   RAMAL VOLTAR  OPERAR       DIAGNOSTICO  CAUSAR  PROBLEMA ,2
 HD  MAQUINA  SUBSTITUIR  ESPERAMOS   PROBLEMA   RESOLVER,0
OTIMO ATENDIMENTO ,1
PARABENS  ATENDENTE,1
PARABENS PELAR AGILIDADE  ATENDIMENTO    POCO PRODUZIR ,1
EXCELENTE TRABALHAR,1
 PONTUAL   SATISFACAO  SOLICITAR  SERVICO  EMPRESAR NET SERVICE ,1
GOSTARIA  REGISTRAR  EXCELENTE ATENDIMENTO  ANALISTA DAIANA  PROFISSIONAL EXTREMAMENTE COMPETENTE  QUALIFICAR  ATENCIOSO    DUVIDA  ESCLARECIDO   CLAREZA  CONHECIMENTO  SERVICO PRESTAR   PROFISSIONAL   PARABENS   ATENDIMENTO D  REALMENTE SUPERAR  EXPECTATIVA   ,1
 ATUALIZACAO  JAVA  REALIZAR  SUCESSO POREM  ACESSO   SIGLA NAO   COMPETENCIA  TI  PRECISAR  LIBERAR  ACESSO  GRATO PELAR ASSISTENCIA   INFORMACAO ,0
 PROBLEMA  RESOLVER RAPIDAMENTE  SATISFATORIAMENTE ,1
  RESOLVER  DEMANDAR  OUTRO FORMAR    RESPOSTAR PADRAO NAO  ATER   SOLUCAO PADRAO  ,0
 TECNICO  EDUCAR  ATENDER RAPIDO  SERVICO  PONTAR  REDAR   JA AGRADECER  TECNICO RODRIGO    ,1
 SINAL  REDAR ,2
ATENDIMENTO N4 RAPIDO  ATENCIOSO ,1
ATENDENTE AGIL  SOLUCAO  PROBLEMA ,1
 OBRIGAR ,1
  INFORMAR   MICRO    ALTERAR  PERFIL  CORPORATIVO PARIR TECNICO  APOS REALIZAR  ALTERACAO   SOLICITACAO ,0
 VALIDADE   NOME  DEPENDENTE MIGRAR  POREM CONTINUAR CONSTAR   SAM  NOME  MAE ANTERIOR ,0
  DIFICIL DESCOBRIR     CANAL    MEAR    PESSOA   DEVER  FEITO  SOLICITACAO  WIFI   SETOR     CONTATO    TCOM INFRA OMT  PARIR   DESCOBRIR ,0
 CHAMAR NAO  RESOLVER    IMPEDIR  VISUALIZAR ARQUIVO EXCEL   CELULA BLOQUEAR   UNICO OPCAO  VISUALIZAR  ARQUIVAR  SALVANDOO   COMPUTADOR    NAO  INTERESSANTE ,0
PARABENS   RAPIDO  EFICIENTE ,1
CAUSA PROVAVEL NAO IDENTIFICAR ,2
GRATA ,1
RESOLVER  CALMO,0
 BOM  ATENDIMENTO  ORIENTACOES CLARO  VONTADE  RESOLVER  PROBLEMA ,1
OTIMO ATENDIMENTO    TECNICO BRUNO ,1
OTIMO ATENDIMENTO ,1
EXCELENTE ATENDIMENTO  EQUIPE  TIC   EDINC ,1
  ATENDER   RAPIDEZ  EFICIENCIA   CORDIALIDADE   ,1
OTIMO ATENDIMENTO,1
   ATENDIMENTO,1
EXCELENTE ATENDIMENTO  RESOLUCAO  DEMANDAR EXTREMAMENTE RAPIDO  PARABENS ,1
PROBLEMA  RESOLVIDO  DAVID BARREIROS  XY56 ,0
 ATENDENTE  MOSTRAR ACESSIVEL   COMPREENSAO  NECESSIDADE    PRONTIFICAR  AJUDAR    EFETUACAO   FRS  S    PEDIR VIGENTE ,0
SOLICITACAO   ATENDIDO   PRAZO ADEQUAR  ORIENTAR  ESCLARECER DUVIDA ,1
 REGISTRAR  EXCELENCIA  ATENDIMENTO PRESTAR PELAR SR EBER PASCOAL   NAO MEDIR ESFORCO PARIR SOLUCIONAR  INUMERO PROBLEMA OCORRIDO DURANTE   INSTALACAO  FERRAMENTA INDISPENSAVEL   BOM ANDAMENTO  ATIVIDADES  REALIZAR ,1
 NAO RECEBER  INFORMACAO    ESPACAR EFETIVAMENTE ALOCADO   PESSOA   ACESSO   DRIVE ,0
AGRADECO  EQUIPE  SUPORTE MAINFRAME TIC  CPIE  SIC    SERVICOS  INFRA ESTRUTURA  TI CORPORATIVA  PRINCIPALMENTO  COLABORADOR HELCIO TAVARES FILHO  ORIENTAR QUANTUM    FERRAMENTA   APERFEICOAMENTO   PARIR  UTILIZACAO  NOTA 10 PRA VOCE ,1
,1
PARABENS PARIR EQUIPE TIC    PRESTATIVO ,1
ATENDIMENTO INTERROMPER  SOLICITACAO  CLIENTE ,0
BOM ATENDIMENTO  OBJETIVO ALCANCAR ,1
PODEMOS AFIRMAR   EFICACIA  ATENDIMENTO  DEVER  PRINCIPALMENTE    PERFIL PROATIVO  ATENDENTE   TAMBEM MOSTRAR CONHECIMENTO  EMPATIA ,1
EFICIENTE   ,1
 OPERADOR   ALAR   PEDIR  RESOLVER OUTRO PENDENCIAR  IMPRESORA,0
EXCELENTE ATENDIMENTO ,1
EXCELENTE ATENDIMENTO,1
EXCELENTE ,1
    ATENDIMENTO  EXCELENTE  RAPIDO  OBRIGAR ,1
EXCELENTE ATENDIMENTO,1
DEMORA    2 SEMANA PARIR  SERVICO CLASSIFICAR COMER PRIORIDADE ALTO ,2
DEMORA ATENDIMENTO  FALTO  FEEDBACK,0
EXCELENTE ATENDIMENTO  PARABEM ,1
 BOM PARABEM,1
OTIMO ATENDIMENTO  SILVIO ,1
EXCELENTE ATENDIMENTO,1
EXCELENTE ATENDIMENTO   0800 COMER  COLABORADOR JOSE ADRIANO  MOSSORO,1
PARABENS  ATENDIMENTO  EXCELENCIA  MUITISSIMO   TECNICO  ATENDIMENTO IMPECAVEL ,1
 MONITOR ADICIONAL  REMANEJADO  COLABORADOR RICARDO GUEDES  E2XT    OTIMO ATENDIMENTO  COLABORADOR LOCAR  PARABENS ,0
ATENDIMENTO RAPIDO  EFICIENTE,1
OTMO ATENDIMENTO  CARLA Y3Y4,1
ELOGIAR  PACIENCIA   PRESTEZA  OPERADOR VANESSA PARIR RESOLVER  SOLICITACAO,1
 TELEFONAR  UMAR FERRAMENTA INDISPENSAVEL  EXECUCAO  TRABALHAR  PRECISAR  PELAR  UMAR ALTERNATIVO PROVISORIO   ENCONTRAR UMAR SOLUCAO DEFINITIVO      INSTALAR UMAR LINHA TELEFONICA COMUM ,2
PARABEM   OBRIGAR ,1
   ATENDIDO PELAR ANALISTA ,1
 ATENDER PELAR 881  DIRECIONOUO  CHAMAR PARIR APOIAR   ALGUEM  CONTATO TELEFONICO COMIGO HOJE MDE MANHA   RESOLVER REMOTAMENTE  SUCESSO      TELEFONEMA INFORMAR  ENVIAR  TECNICO     POREM  ATE    TURNO 07X15  HOJE NAO RECEBER SUPORTAR,2
 CHAMAR NAO  RESOLVER       ACESSO   INFORMAR  PRECISAR AGUARDAR  SINCRONIZACAO    SINCRONIZACAO CONCLUIR  SUCESSO  DIA SEGUINTE     AGRADECO  APOIAR ,0
EXCELENTE,1
 ATENDIMENTO  RAPIDO  POREM  ENTREGAR     RECURSO SOLICITAR ,2
EXCELENTE ATENDIMENTO   EDUCAR  EFICIENTE ,1
TECNICO DEMOSTRAR CONHECIMENTO   TRABALHAR   EDUCAR  PRESTATIVO  PARABEM ,1
EXCELENTE SERVICO,1
 CERTO,0
CHAMADO GERAR    CHAMAR INC000023359303 NAO   ATENDER CONFORMAR   SOLICITACAO ,0
EXCELENTE ANTEDIMENTO REALIZAR PELAR SANDRO   SATISFAZER   ATENDIMENTO  ATENCAO ,1
   LEGAL VALEU,0
 PROBLEMA NAO  RESOLVER  NAO   REVERTER  FECHAMENTO  ORDEM    ATENDIMENTO   BOM,0
 PELAR ATENDIMENTO ,1
OTIMO ATENDIMENTO   PRESTATIVO,1
 AGRADECIDO  ATENDIMENTO,1
OTIMO ATENDIMENTO,1
 MICRO  SUBSTITUIR  APRESENTAR DEFEITO  NAO  PARECER CORRETAR   CLIENTE DEVER SOLICITAR  INSTALACAO  OUTRO EQUIPAMENTO  BASTAR   AJUSTE INTERNO  TIC TRANSFERIR  LICENCA ENTRAR EQUIPAMENTO ,2
ATENDENTE DESPREPARADO   CONHECIMENTO  FERRAMENTA ,2
 EMPENHAR    PROBLEMA CONTINUAR ,0
ATENDIMENTO RAPIDO ,1
ATENDIMENTO EXCELENTE,1
  ATENDIMENTO  BOM,0
 ,0
AGRADECO  PRONTO ATENDIMENTO,1
DFSDFSDFSDFSDF,0
AGRADECO PELAR ATENDIMENTO RAPIDO  EFICAZ ,1
HAVIA ABERTO  INCIDENTE ANTERIOR    FINALIDADE   ATENDENTE CONCLUIR  CHAMAR   DESCRICAO EQUIVOCAR  DISSE   DESISTIR  ATENDIMENTO    NAO OCORRER   INFORMACAO  OBTER D     NAO  POSSIVEL    HAVER PEDIR  SOLICITEI  ISSOFOSSE REGISTRAR  INCIDENTE   NAO OCORRER  ATE  DESCRICAO  CHAMAR  EQUIVOCAR   DIFICIL       INCIDENTE ANTERIOR   INC000023391626,2
OTIMO ATENDIMENTO ,1
 SATISFAZER,1
 ACAO  LIMITAR  DELETAR UMAR ENTRAR  REGISTRAR   REQUERER PRIVILEGIO  ADMINISTRADOR  NAO DEVER  NECESSARIO  PROCEDIMENTO ,0
ATENDIMENTO RAPIDO  EFICIENTE,1
IRAO ENVIAR PROFISSIONAL PARIR    PARIR SOLUCIONAR  PROBLEMA  LENTIDAO  REDAR ,0
 ACESSO   BANCO  BRASIL CONTINUAR  SOLUCAO HAVER 8 DIA ,2
SOLICITAR  INSTALACAO  PROGRAMAR SMARDISK TEMPORARIAMENTE PARIR RESTAURAR  PENDRIVE    NEGAR ,2
 PROBLEMA  RESOLVER  CIAR SEGUINTE  OBRIGAR,1
 BOM  AGIL ,1
ATENDENTE  MOSTRAR SOLICITAR  EDUCAR  DEMONSTRAR  CONHECIMENTO PARIR RESOLVER  SOLICITACAO,1
ATENDIMENTO RAPIDO  EFICIENTE   OBRIGAR ,1
ATENDIMENTO PERFAZER  JOVEM FELIPE SOLUCIONAR  PROBLEMA SURGIR  WORDFLOW   MINUTO ,1
 POSITIVAR,0
 CHAVE NAO  REATIVADA ,2
 BOM ,1
EXCELENTE SERVICO,1
EXCELENTE ATENDIMENTO,1
  ATENDER,1
EXELENTE ATENDIMENTO,1
EXCELENTE ,1
 ATENDIMENTO,1
 TECLADO  SUBSTITUIDO,0
 ATENDENTE   TECNICO  RAPIDO  EFICIENTE ,1
ATENDENTE SIMPATICO  AGRADAVEL ,1
ATENDENTE    VINICIUS  TOTAL CONHECIMENTO  PROCESSAR ,1
MUITA PRESTEZA  EFICIENCIA  ATENDIMENTO ,1
EXCELENTE ,1
OTIMO,1
EXCELENTE ATENDIMENTO ,1
 OBRIGAR PELAR OTIMO ATENDIMENTO ,1
ATENDIMENTO PROATIVO   EFICIENCIA ,1
OTIMO ATENDIMENTO ,1
EXISTE REGISTRAR RELATIVO  PROBLEMA  SITE  BB  AGUARDAR SOLUCAO ,2
 ATENDENTE BRUNO   ATENCIOSO  NAO POUPAR ESFORCO PARIR RESOLVER  PROBLEMA    ENTENDER    ACONTECER ,1
EXCELENTE ATGENDDIMENTO ,1
EXCELENTE ATENDIMENTO PRESTAR PELAR EDER,1
  BOM  CONTAR   PRESTEZA  PROFISSIONALISMO   ATENDENTE DEDICAR  RESOLVER  PROBLEMA     GOSTAR  AGRADECER  ATENCAO  PRESTATIVIDADE  SR KELVIN BRAGA  ATENDER  CHAMAR  PARABENS PELAR COMPETENCIA   ABRACAR ,1
SUPER PRESTATIVA,1
ATENDENTE SUPER ATENCIOSO,1
NOTA 10  ATENDIMENTO  COMER   RAMAL   ACIONADO  JA  SENTIR FALTO       ACERTAR    TOCAR    ATENDENTE     OBRIGAR ,1
EXCELENTE,1
OBRIGAR,1
EXCELENTE  ATENDIMENTO  SRA ALDINEIA,1
 NAO   PEN DRIVE LIVRAR NAO CONSEGUIR RESOLVER  CHAMAR    ATENDENTE  ATENCIOSO,0
PROBLEMAS  ARQUIVAR  NAO  ATENDENTE,0
OK,0
SERVICO EXECUTAR  PRESTEZA,1
SERVICO EXECUTAR  PRESTEZA,1
SERVICO EXECUTAR  PRESTEZA,1
 PEDIR  PARIR REPARAR  ACROBAT   ATENDER ,0
OTIMO ATENDIMENTO ,1
ATENDIMENTO SATISFATORIO,1
 ATENDENTE INFORMAR  IRAR NECESSARIO OFICIALIZAR   PEDIR  POREM  LIGACAO CAIR   AGUARDAR  ORIENTACAO    NAO OBTER RETORNAR ,2
OK,0
 BRUNO PELAR  ATENDIMENTO  DISPONIBILIDADE,1
 PERFIL ENCONTRAMSE  MANUTENCAO PELAR TIC   OPERADOR NAO  INFORMAR   DISPONIVEL  SOLICITACAO ,2
 APOIAR   TEFRAN  OTIMO ,1
EXCELENTE ATENDIMENTO,1
ATENDIMENTO RAPIDO  EFICAZ  AGRADECO  VANESSA ,1
PARABENS   OPERADOR,1
 ATENDENTE RELATAR NAO HAVER PREVISAO  RETORNAR   BDEMQ  NAO  FUNCIONAR      NAO RETORNAR  JA  1105  NAO  CONDICAO  LIBERAR  DIA   PRAZO EXIGIR  1200      ,2
AGRADECEMOS  AGILIDADE     ATENDIMENTO  FUNCIONARIO ALINE GUEDES  ANDRADE ,1
EXCELENTE ATENDIMENTO,1
OK ,0
ATENDENTE  SIMPATICO  ATENCIOSO ,1
EXCELENTE TRABALHAR   RAPIDEZ ,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO ,1
N  D,0
  RESOLVER MTO   PROBLEMA  PARABENS  ADRIANA UBALDINO  TIC ,1
EXCELENTE ATENDIMENTO,1
CHAMANDO ATENDER RAPIDAMENTE   EXCELENTE ATENDIMENTO ,1
 PEDIR   EXCLUSAO  ACESSO    CONCESSAO  ACESSO  S PASTAR SOLICITAR   REALIZAR EXATAMENTE  CONTRARIO  PEDIR ,2
EXCELENTE TRABALHAR  PARABENS PELAR ATENCAO ,1
MOUSE    FUNCIONAR   FASE  ADAPTACAO ,0
TROCADO  TECLADO     ENTRETANTO  VIR  DEFEITO  UTILIZACAO  SHIFT   LETRA   D  C     TROCAR   TECLADO   CONDICAO   ,1
CHAMADO RESOLVER RAPIDAMENTE,1
ATENDIMENTO EFICIENTE  EFICAZ ,1
OTIMO ATENDIMENTO  CONTINUE  ,1
 NOTEBOOK  TROCAR    CONFIGURACAO     FEITO HOJE  JA DEVER   INSTALAR  APARELHAR   TROCAR ,1
PRECISO SOLICITAR  SUBSTITUICAO  CELULAR  BLACKBERRY    BOTAO TIC NAO OFERECEO SERVICO   PARIR PERDA  ROUBAR ,2
EXCELENTE  AGILIDADE,0
 BOM,1
ATENDIMENTO  RAPIDO  EFICIENTE ,1
ATENDIMENTO CORRIGIR ,0
ATENDIMENTO RESOLVER  PRESTEZA  EFICIENCIA ,1
EFETUOU  INSTALACAO  APLICATIVO   RAPIDA  EXCELENTE ATENDIMENTO ,1
OK  SOLICITACAO ATENDIDO ,0
RECEBO ORIENTACAO  PREPOR  TIC PARIR   SOLICITACAO  BOTAO TIC   OUTRO PREPOR LIGAR INFORMAR  OESTE PROCEDIMENTO  ERRAR ,2
VALEU TIC ,0
 COMPETENTE  ATENDIMENTO    PACIENCIA  GENTILEZA ,1
 ANDRESSA ,1
OTIMO ATENDIMENTO TELEFONICO  CHAMAR RESOLVER ANTAR   PRAZO ESTIPULAR ,1
BOM,0
AGRADECO   ATENDENTE PELAR PACIENCIA  DEDICACAO ,1
 RECEBER  PESQUISAR  SATISFACAO INFORMAR   CHAMAR  FECHAR    HISTORICO NAO HAVER  INFORMACAO      ATENDER  NAO   POSSIVEL  SUGIRO   PROXIMA    ATENDENTE INFORMAR  EMAIL   SOLICITANTE   CHAMAR  ATENDER  SUCESSO  REGISTRAR  HISTORICO  CHAMAR ,0
ORIENTACAO PRECISO  CELERE,0
ATENDENTE  PACIENCIA    COMER NAO  PROBLEMA   SAP NAO  DISPONIVEL PARIR INSTRUIR  DESPREPARADA  INAPTO ,2
DEVIDAMENTE INFORMAR,0
EXCELENTE ATENDENTE ,1
OK  GRATO ,1
ESPERAR  4 HORAR ,0
 INFORMACAO  REPASSAR POREM  SOLUCAO NAO         DEVER PROCURAR  APOIAR    ESPERAR ALGUM HORAR PARIR  DEVIDO REPLICACAO     CLIENTE  VERIFICACAO DEVER  TRATAR PELAR EQUIPAR  ATENDIMENTO  REMOTO  LOCALMENTE ,2
ATENDENTES DESPREPARADOS   NAO  TIRAR DUVIDA SOBRAR  SAP  MODULO VIAGEM ,2
EXCEENTE ATENDIMENTO    QUESITO  TECNICO LUIZ CLAUDIO,1
 BOM,1
ATENDENTE  ATENCIOSO  COMPETENTE ,1
TECNICO  ATENCIOSO ,1
 SOLICITACAO ANTERIOR  ATENDIDO RAPIDAMENTE PELAR APOIAR    ENTANTO  HOJE  FUNCIONARIO INFORMAR   SOLICITACAO  GRAVACAO DEVER  FEITO  UMAR FUNCAO GERENCIAL  HA NECESSIDADE  AVALIAR    INCONSISTENCIA  ATENDIMENTO  S DEMANDAR  JA   SOLUCAO  DIFERENTE ,0
 PESSOA    ATENDER  SUPER SIMPATICO  ATENCIOSO  PARABEM ,0
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO RAPIDO  EFICIENTE,1
ATENDIMENTO EXCELENTE ,1
 ATENDENTE   EFICIENTE,1
EXCELENTE,1
PERFEITO,0
OK  GRATO ,1
PROGRAMA CORRETAR  SICALC  RFB  PARIR EMISSAO  DARF  NAO DANFE ,0
OK   AGRADECER PELAR PRESTEZA ,1
AGRADECO PELAR PRONTO ATENDIMENTO  COLEGA  TIC  PARANAGUA ,1
ADORO   ATENDIDA  881   TECNICO EXPERIENTE  CAPACITADO  INTELIGENTE     MELHORES ATENDIMENTOS REMOTO   ,0
TECNICO SUPER PRESTATIVO   CAPACITADO  PARABENS,1
ATENDENTE RAPIDO  EDUCAR  ATENDIMENTO NOTO 10 ,1
OTIMO ATENDIMENTO  PROBLEMA RESOLVER ,1
PRESTATIVO,0
ATENDIMENTO PERFAZER  JA HAVER LIGAR 2 VEZAR PARIR  881  BUSCAR INFORMACAO PARIR  PROBLEMA   2 VEZAR  INFORMAR  NAO  SOLUCAO  DIFERENTE  RESPOSTAR  OBTER HOJE   ATENDENTE ,1
EXCELENTE ATENDIMENTO  MERECER NOTO 10 ,1
 REGISTRAR  EXCELENCIA  ATENDIMENTO  PRESTAR PELAR SR EBER PASCOAL  NAO MEDIR ESFORCO PARIR SOLUCIONAR  INUMERO PROBLEMA OCORRIDO DURANTE   INSTALACAO  FERRAMENTA INDISPENSAVEL   BOM ANDAMENTO  ATIVIDADES  REALIZAR ,1
 MINUTO APO    RECEBIMENTO  EMAIL VOLTAR  FICAR INDISPONIVEL  CREIO   ALTERACAO    SMARTPHONES   INSTAVEL QUANTUM   NOTES TRAVELLER,0
ATENDIMENTO OK,0
 RESOLVI,2
SUPER RAPIDO ,1
EXCELENTE ATENDIMENTO ,1
APESAR  INFORMAR   VERSAO INSTALAR    RECENTE  CONTINUAR RECEBER  ALERTAR  SITE  ONS   HAVER NECESSIDADE  ATUALIZAR  JAVA,0
EXCELENTE ATENDIMENTO,1
 SATISFAZER,1
 SATISFAZER,1
EXCELENTE PROFISSIONAL ,1
ALEM   LONGO  ESPERAR NAO RECEBER NENHUM MICRO  SUBSTITUICAO ,0
 ATENDIMENTO PRESTAR   RUIM  ALEM  DEMORAR   DIP  SOLICITACAO  ENVIAR  DIA 294    DUVIDA DURANTE  PROCESSAR  NAO  RESOLVIDO  SEQUER ENCAMINHAR ,2
SERVICO EXECUTAR   PROFISSIONALISMO  DEDICACAO    REPRESENTANTE  TCOM ,1
 PENDENCIA  RESOLVIDO     SOLICITAR   PESSOA HAVER ABERTO  CHAMAR PELAR  PROBLEMA       10 DIA PARIR DESCOBRIR   RELATORIO NAO  EXPORTAR PARIR PDF   EXAGERAR   TAREFAR  NECESSITAR REALIZAR   PRAZO  PRECISAR  RESOLVIDO ANTAR  SOLUCAO D  CHAMAR      PONTAR  VISTO   PROBLEMA NAO  RESOLVER   ,2
 CONTAR   TRANSCORRER ENTRAR  SOLICITACAO   DATAR   TECNICO COMPARECER   POSTO  TRABALHO    AGUARDAR  TOMAR PROVIDENCIAR  FICAR   10 DIA  CONTATO  TELEFONAR     CONSEGUI  RECURSO PROPRIO  EXPERIENCIA    10 ANO  MANUTENCAO INDUSTRIAL   INCLUIR   TELEFONIA  RESOLVER  PROBLEMA   ,2
